Date,Open,High,Low,Close,Adj Close,Volume
2022-07-28,22.889999,23.420000,22.139999,23.309999,23.309999,22886100
2022-07-29,23.180000,23.485001,22.389999,23.450001,23.450001,29370900
2022-08-01,23.430000,24.620001,22.885000,24.600000,24.600000,46893500
